spp_sex,sci_name
CTET_B,Cassiope tetragona
DLAP_B,Diapensia lapponica
HALP_B,Hierochloe alpina
LCON_B,Luzula confusa
LPAL_B,Ledum palustre
PBIS_B,Polygonum bistorta
VVIT_B,Vaccinium vitis-idaea
CAQU_B,Carex aquatilis
CRAR_B,Carex rariflora
EANG_B,Eriophorum angustifolium
PVIV_B,Polygonum viviparum
SPLR_F,Salix polaris (female)
SPLR_M,Salix polaris (male)
LARC_B,Luzula arctica
PHUL_B,Papaver hultenii
PHYP_B,Potentilla hyparctica
SLAE_B,Stellaria laeta
SPUN_B,Saxifraga punctata
SROT_F,Salix rotundifolia (female)
SROT_M,Salix rotundifolia (male)
CSTA_B,Carex aquatilis var. stans
DFIS_B,Dupontia fisheri
ETRI_B,Eriophorum angustifolium ssp. triste
HPAU_B,Hierochloe pauciflora
SHIE_B,Saxifraga hieracifolia
